E1,E2,E3,E4,E5,24-bit color
0.6535307061412282,0.10182036407281458,0.14962992598519703,0.04660932186437289,0.04840968193638728,16773825
0.6477999999999999,0.050399999999999986,0.20599999999999996,0.04819999999999998,0.04759999999999999,16771788
0.05201040208041608,0.40148029605921187,0.40048009601920387,0.09621924384876977,0.04980996199239848,16771288
0.308,0.0454,0.5068,0.04320000000000001,0.0966,16771278
0.0432,0.3532,0.4502,0.10219999999999999,0.051199999999999996,16770518
0.303,0.09120000000000002,0.4536,0.05040000000000001,0.10180000000000002,16770510
0.7521504300860172,0.048609721944388874,0.04660932186437288,0.09781956391278257,0.054810962192438493,16573101
0.046799999999999994,0.6516000000000001,0.15399999999999997,0.098,0.04959999999999999,16380655
0.050389922015596895,0.5992801439712059,0.19476104779044193,0.10017996400719857,0.05538892221555689,16379885
0.04360872174434887,0.3024604920984197,0.4988997799559913,0.09721944388877775,0.057811562312462504,16377297
0.7031406281256251,0.09521904380876176,0.05021004200840167,0.10222044408881775,0.04920984196839367,16377266
0.30019999999999997,0.14859999999999998,0.3994000000000001,0.055400000000000005,0.09640000000000001,16376536
0.051199999999999996,0.25,0.5548,0.096,0.048,16376524
0.049209841968393675,0.20384076815363072,0.6053210642128426,0.09481896379275856,0.04680936187237447,16376006
0.8046,0.0422,0.04819999999999999,0.0498,0.0552,16375983
0.05241048209641929,0.14802960592118422,0.6453290658131626,0.09841968393678735,0.0558111622324465,16374724
0.048400000000000006,0.7508,0.0516,0.09980000000000001,0.049400000000000006,16249583
0.09540000000000001,0.5494,0.19800000000000006,0.10460000000000003,0.05260000000000001,16248293
0.5967193438687738,0.052410482096419284,0.1478295659131826,0.10362072414482897,0.09941988397679534,16248255
0.053200000000000004,0.5538,0.2556000000000001,0.09480000000000001,0.042600000000000006,16247528
0.0488,0.4956000000000001,0.30019999999999997,0.10880000000000002,0.04660000000000001,16247010
0.04760000000000001,0.4514,0.35240000000000005,0.0994,0.0492,16246240
0.3026605321064213,0.20204040808161638,0.3456691338267654,0.04960992198439688,0.10002000400080019,16245462
0.6471294258851771,0.15143028605721146,0.04660932186437289,0.10402080416083218,0.050810162032406486,16244911
0.6602,0.09919999999999998,0.101,0.09339999999999998,0.04619999999999999,16242349
0.051800000000000006,0.6464000000000001,0.1042,0.0434,0.15420000000000003,16053480
0.04660000000000001,0.7038,0.10060000000000002,0.09400000000000003,0.05500000000000001,16052973
0.05578884223155369,0.7996400719856029,0.048990201959608085,0.04939012197560488,0.04619076184763046,16051690
0.054599999999999996,0.7004,0.05,0.047,0.14799999999999996,16051682
0.0946,0.4536,0.29840000000000005,0.10360000000000001,0.049800000000000004,16050395
0.602,0.20020000000000004,0.09860000000000002,0.050400000000000014,0.04880000000000001,16050374
0.5522000000000001,0.19560000000000002,0.14759999999999998,0.057,0.04760000000000001,16050357
0.09618076384723057,0.4029194161167767,0.3569286142771445,0.09458108378324334,0.04939012197560488,16049627
0.551,0.144,0.20420000000000005,0.05020000000000001,0.050600000000000006,16049589
0.5516,0.10260000000000001,0.25000000000000006,0.049800000000000004,0.046000000000000006,16049586
0.24519999999999997,0.1054,0.4982,0.051199999999999996,0.1,16047576
0.29914017196560677,0.24875024995001002,0.3033393321335733,0.048990201959608085,0.09978004399120176,16047566
0.049800000000000004,0.104,0.698,0.10080000000000001,0.047400000000000005,16047561
0.24359999999999998,0.1532,0.4522,0.049199999999999994,0.1018,16047059
0.10160000000000001,0.6440000000000001,0.053,0.146,0.0554,15921898
